name,latitude,longitude
Милковци,42.9172,25.2477
Кисийците,42.8847,25.5066
Зайчино Ореше,43.3141,27.2692
Долни Главанак,41.6835,25.8235
Селищен дол,42.655,22.9115
Нови Хан,42.6065,23.5952
Превала,43.4684,22.8623
Девня,43.2225,27.5926
Цацаровци,42.8628,22.8458
Горно Пещене,43.2777,23.7073
Кривини,42.9517,27.6719
Кобиляк,43.5279,23.4556
Ножарево,43.918,26.8853
Йовково,43.7768,28.1411
Тополовец,43.9867,22.6212
Раздол,41.617,23.0138
Банско,41.8346,23.4848
Вуково,42.1961,22.9681
Житница,41.7557,25.3117
Столетово,42.6878,24.62
Алцек,43.7753,27.5443
Армените,42.9312,25.2243
Дива Слатина,43.2843,22.9143
Добровница,42.2129,24.3801
Малък Преславец,44.0637,26.8472
Дъбница,41.5664,23.8343
Езеро,42.4653,26.0146
Ясен,43.4304,24.5229
Костена река,43.1819,27.1408
Старо село,42.9841,24.5212
Бакалите,41.7391,25.2147
Стайчовци,42.7603,22.5409
Тушовица,43.0061,26.8059
Боил,43.8021,26.9563
Михилци,42.5242,24.8009
Тополовец,43.6969,23.0115
Белополци,41.5213,25.8065
Захари Стояново,43.5329,26.2485
Радуил,42.2896,23.6893
Липник,43.5901,26.5321
Изгрев,41.4933,25.1036
Костелево,43.2139,23.6111
Главиница,43.9149,26.8387
Крапец,43.6252,28.5635
Трявна,42.8664,25.4872
Солник,42.9213,27.6564
Мало село,42.3145,23.0428
Сирищник,42.5716,22.8129
Владимирово,43.553,27.5362
Победа,43.5032,24.5483
Побит камък,41.8155,23.9069
Ново Оряхово,42.987,27.8376
Круша,42.8993,22.7846
Пчелник,43.0131,27.6678
Падина,43.1606,27.5734
Гаганица,43.3298,23.1114
Сливовица,43.087,25.997
Рудник,42.9505,27.7761
Велчево,42.8899,24.8364
Бяла вода,43.6297,25.0404
Длъжко,43.3853,26.8571
Малко Тръново,42.2648,25.4617
Палици,42.9198,26.0025
Вършец,43.1944,23.2871
Горен Чифлик,43.014,27.63
Генерал Кантарджиево,43.3593,27.9815
Слаковци,42.679,22.9061
Юнец,42.9298,27.7651
Станец,43.0774,26.3849
Продановци,42.3468,23.5234
Косарка,43.0127,25.5499
Войнягово,42.5769,24.7543
Сливница,41.692,23.1655
Катраница,41.5836,24.8994
Борово,41.5933,23.7396
Долен,41.4236,25.134
Засмяно,43.3894,27.6871
Каняк,41.7551,25.2823
Беляковец,43.1054,25.5852
Климент,43.6247,27.006
Майор Узуново,44.0719,22.8232
Поцърненци,42.4915,22.8869
